score,node_distribution_unreversed,node_distribution,node_distribution_raw,distance_to_borderlines_unreversed,distance_to_borderlines,distance_to_borderlines_raw,edge_length_sum,edge_length_sum_raw,edge_node_distance_contribution_unreversed,edge_node_distance_contribution,edge_node_distance_contribution_raw,count_edge_crossings,count_edge_crossings_raw,communities_closeness,sum_of_angles,symmetry,category
1,23.399644760746696,1401.9694515441465,161.00034125878895,40.0,53.901,32.861,9.305436210715484,13.609291673847311,64.51651882100039,76488.37569022676,2029.3858859360616,1521,39,7.27021868156063,31.80422476064691,0.9897189494281853,BA
3,27.22230160291079,1266.3866328104814,138.21313381934485,40.0,51.595,33.366,11.109832988350188,15.350244747957603,81.76839056334764,1148715.9180649798,3129.870025522409,1296,36,13.645451023332477,35.78387483067161,0.9679415543267316,BA
5,18.41966656878373,13.725929700498298,13.660870774416413,24.0,42.195,20.157,7.612149577461811,8.188773726490815,33.88452018228876,52.43797504817468,41.777283090103516,1,1,7.836129742630707,4.970894822419042,0.9122699934262128,BA
1,8.119731939299843,806.2847798690706,56.7630662211684,24.0,28.865,18.223,2.9568223976745838,4.728958520121583,12.596705422750201,6147.164927912398,273.6861014065747,1,1,3.733377098917509,4.159651048558298,0.9671319524218484,BA
6,7.12509805005735,103.97947483678514,36.50345297998673,24.0,25.999,18.382,2.4268456688625606,4.419898373866416,13.033944185546012,318911.85007764533,679.3168622978621,0,0,2.975698983578969,4.691148274309996,0.9824766765368218,BA
2,8.004748168980655,80.99892611319777,32.43673293497988,24.0,14.946,15.233,3.462447089280262,5.176038427941578,12.827744290778298,2878.6058414994573,196.97494183701974,16,4,2.7886421920287034,3.5829783419213914,0.9873983052069334,BA
4,8.088694434201333,85.92863428589543,32.9643739741531,24.0,65.548,25.769,2.787267929742539,4.585987215506128,13.140250800489168,1043.575410133755,145.20091810013488,36,6,3.678264696182972,4.523597496138908,0.9823339674060294,BA
3,4.587789154155664,1083.2479106656983,82.00849652486073,24.0,35.579,20.148,0.7305927938350656,2.3983675476585926,7.675045458942416,27275.340655184675,437.698365914198,25,5,2.0424868420543945,4.839898166032474,0.9939866093564201,BA
6,43.41155616925938,83.72884891135156,55.97085739129489,40.0,50.301,28.729,5.070696204701796,8.845354330657395,97.96752978844577,453.6796459643326,206.09540263465988,4,2,11.591930936143044,15.841067979575023,0.9326994047042323,BA
3,22.936408989120082,760.6646631017807,136.1500533336798,40.0,50.083,32.393,5.4723558579580525,8.133024730635979,44.92025389774819,26998.88824684856,920.2433634852935,25,5,5.321584050381315,13.707644656949686,0.9762054536919329,BA
5,26.965521613515023,235.57422500737567,91.43029432441479,40.0,63.906,33.353,7.2558696686780735,9.93609008569343,55.251104033164694,2009.9700796313518,419.0484255258586,484,22,6.646576033273373,15.622908637375387,0.9915294762768663,BA
4,25.004356433620956,290.80623581912596,101.16416147093051,40.0,63.767,34.453,5.339175712406652,8.512861468668213,49.071126009211234,4012.954244536096,511.64131196629387,100,10,5.780468707692592,14.483087897154975,0.9779127842244579,BA
2,23.399644760746696,1401.9694515441465,161.00034125878895,40.0,53.901,32.861,4.092654601433262,6.73003545775608,49.390096660417036,35732.761992804124,1001.5290808508423,100,10,7.203477178816135,13.847769706209995,0.9897189494281853,BA
1,27.22230160291079,1266.3866328104814,138.21313381934485,40.0,51.595,33.366,8.913591901493188,10.802740292658914,51.019605147090736,1054968.2883218376,2012.3882258173155,196,14,7.79956595704555,15.54194908512945,0.9679415543267316,BA
6,97.76168526942926,243.91563090369456,141.387328825763,60.0,54.886,39.719,2.9262440831421688,6.386517873372125,133.53119815861896,609.0750798946854,302.27993776128983,0,0,28.77294830555156,11.93242843096105,0.9426666201413435,BA
5,59.0872723715144,808.9884070251933,243.28572092067583,60.0,95.016,51.14,5.156231014034501,7.838482541081805,69.54441893806964,48047.476433482036,1082.8692259919592,25,5,17.442808820937255,7.727609779658389,0.981145265937566,BA
